Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
148301,INF090I01WJ0,-,Franklin India Debt Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank Ltd CO05Mar20) - Direct Monthly Dividend Plan,0.0,Unknown AMC
119118,INF179K01XE6,-,HDFC Hybrid Debt Fund - Growth Option - Direct Plan,83.0934,HDFC Mutual Fund
102147,INF179K01AE4,-,HDFC Hybrid Debt Fund - Growth Plan,78.281,HDFC Mutual Fund
102148,INF179K01AA2,INF179K01AB0,HDFC Hybrid Debt Fund - IDCW Monthly,14.1992,HDFC Mutual Fund
119119,INF179K01XF3,INF179K01XG1,HDFC Hybrid Debt Fund - IDCW Monthly - Direct Plan,15.703,HDFC Mutual Fund
102149,INF179K01AC8,INF179K01AD6,HDFC Hybrid Debt Fund - IDCW Quarterly,14.9477,HDFC Mutual Fund
119120,INF179K01XH9,INF179K01XI7,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan,16.5338,HDFC Mutual Fund
120073,INF336L01DW4,-,HSBC Conservative Hybrid Fund - Direct Growth,64.141,HSBC Mutual Fund
120074,INF336L01DX2,INF336L01DY0,HSBC Conservative Hybrid Fund - Direct Monthly IDCW,17.2497,HSBC Mutual Fund
120075,INF336L01DZ7,INF336L01EA8,HSBC Conservative Hybrid Fund - Direct Quarterly IDCW,15.0067,HSBC Mutual Fund
102262,INF336L01099,-,HSBC Conservative Hybrid Fund - Regular Growth,57.5196,HSBC Mutual Fund
102260,INF336L01107,INF336L01115,HSBC Conservative Hybrid Fund - Regular Monthly IDCW,13.0024,HSBC Mutual Fund
102261,INF336L01123,INF336L01131,HSBC Conservative Hybrid Fund - Regular Quarterly IDCW,17.183,HSBC Mutual Fund
123183,INF109KA1301,-,ICICI Prudential Regular Savings Fund - Direct Plan - Bonus,46.3924,ICICI Prudential Mutual Fund
120616,INF109K01S39,-,ICICI Prudential Regular Savings Fund - Direct Plan - Growth,78.5888,ICICI Prudential Mutual Fund
120613,INF109K01S47,INF109K01S54,ICICI Prudential Regular Savings Fund - Direct Plan - Half Yearly IDCW,16.2023,ICICI Prudential Mutual Fund
120615,INF109K01S62,INF109K01S70,ICICI Prudential Regular Savings Fund - Direct Plan - Monthly IDCW,16.1649,ICICI Prudential Mutual Fund
120614,INF109K01S88,INF109K01S96,ICICI Prudential Regular Savings Fund - Direct Plan - Quarterly IDCW,14.0628,ICICI Prudential Mutual Fund
128110,INF109KA1319,-,ICICI Prudential Regular Savings Fund - Plan - Bonus,18.3554,ICICI Prudential Mutual Fund
102330,INF109K01902,-,ICICI Prudential Regular Savings Fund - Plan - Growth,71.6328,ICICI Prudential Mutual Fund
113098,INF109K01IW6,INF109K01WX5,ICICI Prudential Regular Savings Fund - Plan - Half Yearly IDCW,12.6149,ICICI Prudential Mutual Fund
102331,INF109K01ER5,INF109K01894,ICICI Prudential Regular Savings Fund - Plan - Monthly IDCW,13.6267,ICICI Prudential Mutual Fund
113097,INF109K01IX4,INF109K01WY3,ICICI Prudential Regular Savings Fund - Plan - Quarterly IDCW,11.4398,ICICI Prudential Mutual Fund
114859,INF174K01393,-,Kotak Debt Hybrid - Growth,55.6439,Unknown AMC
120154,INF174K01JZ1,-,Kotak Debt Hybrid - Growth - Direct,63.953,Unknown AMC
114858,INF174K01419,INF174K01401,Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option,12.6604,Unknown AMC
120155,INF174K01KA2,INF174K01KB0,Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option - Direct,13.7919,Unknown AMC
120276,INF767K01EO7,-,LIC MF Conservative Hybrid Fund-Direct Plan-Growth,87.164,LIC Mutual Fund
120277,INF767K01EP4,INF767K01ES8,LIC MF Conservative Hybrid Fund-Direct Plan-Monthly IDCW,13.2959,LIC Mutual Fund
120274,INF767K01EQ2,INF767K01ET6,LIC MF Conservative Hybrid Fund-Direct Plan-Quarterly IDCW,17.4592,LIC Mutual Fund
120275,INF767K01ER0,INF767K01EU4,LIC MF Conservative Hybrid Fund-Direct Plan-Yearly IDCW,14.772,LIC Mutual Fund
101869,INF767K01808,-,LIC MF Conservative Hybrid Fund-Regular Plan-Growth,78.8994,LIC Mutual Fund
101866,INF767K01816,INF767K01824,LIC MF Conservative Hybrid Fund-Regular Plan-Monthly IDCW,12.9572,LIC Mutual Fund
101867,INF767K01832,INF767K01840,LIC MF Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,13.8591,LIC Mutual Fund
101868,INF767K01857,INF767K01865,LIC MF Conservative Hybrid Fund-Regular Plan-Yearly IDCW,12.5607,LIC Mutual Fund
113143,INF959L01114,INF959L01122,Navi Conservative Hybrid  Fund - Quarterly IDCW,16.0697,Navi Mutual Fund
119157,INF959L01684,INF959L01692,Navi Conservative Hybrid Fund - Direct Plan Monthly IDCW,13.1143,Navi Mutual Fund
119158,INF959L01700,INF959L01718,Navi Conservative Hybrid Fund - Direct Plan Quarterly IDCW,19.0982,Navi Mutual Fund
